ImageId,Label
1,1
2,1
3,1
4,6
5,4
6,4
7,6
8,3
9,3
10,7
11,8
12,5
13,8
14,7
15,4
16,7
17,1
18,6
19,1
20,3
21,2
22,3
23,2
24,8
25,2
26,4
27,0
28,4
29,4
30,0
31,3
32,0
33,8
34,2
35,2
36,6
37,4
38,2
39,7
40,0
41,8
42,5
43,5
44,0
45,5
46,5
47,5
48,6
49,4
50,3
51,8
52,6
53,2
54,1
55,3
56,8
57,4
58,7
59,4
60,4
61,0
62,6
63,3
64,1
65,8
66,5
67,4
68,4
69,2
70,2
71,0
72,5
73,7
74,4
75,6
76,5
77,6
78,4
79,8
80,1
81,1
82,0
83,7
84,8
85,7
86,0
87,1
88,4
89,6
90,1
91,1
92,0
93,0
94,5
95,6
96,2
97,7
98,7
99,4
100,3
101,2
102,1
103,6
104,7
105,8
106,7
107,2
108,1
109,7
110,2
111,6
112,2
113,1
114,5
115,2
116,3
117,7
118,7
119,3
120,0
121,1
122,0
123,0
124,2
125,1
126,0
127,0
128,2
129,7
130,5
131,4
132,5
133,4
134,3
135,5
136,2
137,7
138,1
139,4
140,8
141,4
142,2
143,6
144,4
145,1
146,1
147,0
148,0
149,2
150,0
151,5
152,8
153,8
154,6
155,4
156,3
157,7
158,4
159,6
160,5
161,5
162,0
163,2
164,6
165,3
166,0
167,1
168,3
169,4
170,0
171,4
172,8
173,3
174,6
175,1
176,7
177,4
178,5
179,4
180,7
181,6
182,3
183,8
184,0
185,1
186,7
187,2
188,7
189,2
190,0
191,6
192,1
193,4
194,2
195,0
196,0
197,6
198,7
199,7
200,4
201,1
202,0
203,8
204,4
205,0
206,5
207,3
208,7
209,5
210,7
211,4
212,5
213,0
214,4
215,6
216,5
217,3
218,0
219,7
220,2
221,6
222,8
223,5
224,1
225,8
226,2
227,3
228,2
229,8
230,5
231,7
232,0
233,0
234,4
235,2
236,3
237,6
238,1
239,6
240,3
241,5
242,7
243,3
244,7
245,0
246,7
247,5
248,0
249,8
250,7
251,8
252,1
253,8
254,0
255,1
256,4
257,7
258,3
259,3
260,5
261,7
262,4
263,3
264,8
265,0
266,6
267,0
268,6
269,0
270,4
271,0
272,1
273,4
274,8
275,2
276,2
277,8
278,1
279,8
280,6
281,5
282,4
283,3
284,8
285,3
286,4
287,7
288,2
289,3
290,7
291,1
292,8
293,3
294,3
295,0
296,0
297,1
298,6
299,8
300,2
301,7
302,0
303,3
304,0
305,2
306,4
307,6
308,4
309,5
310,1
311,2
312,5
313,4
314,1
315,6
316,8
317,2
318,4
319,8
320,2
321,4
322,5
323,3
324,2
325,6
326,6
327,0
328,3
329,5
330,1
331,6
332,3
333,6
334,1
335,8
336,3
337,4
338,0
339,8
340,4
341,1
342,2
343,1
344,0
345,2
346,7
347,4
348,4
349,7
350,2
351,3
352,0
353,8
354,4
355,6
356,5
357,4
358,4
359,7
360,8
361,8
362,3
363,2
364,0
365,2
366,3
367,5
368,4
369,7
370,3
371,7
372,5
373,2
374,0
375,5
376,4
377,5
378,1
379,1
380,8
381,5
382,1
383,6
384,2
385,2
386,7
387,3
388,4
389,7
390,1
391,0
392,7
393,8
394,2
395,0
396,6
397,2
398,1
399,5
400,2
401,3
402,4
403,2
404,2
405,0
406,5
407,4
408,3
409,4
410,6
411,8
412,6
413,3
414,3
415,5
416,5
417,3
418,4
419,2
420,7
421,3
422,8
423,2
424,4
425,1
426,4
427,8
428,1
429,1
430,7
431,8
432,3
433,0
434,6
435,3
436,6
437,4
438,0
439,5
440,2
441,7
442,8
443,4
444,4
445,5
446,1
447,1
448,0
449,1
450,5
451,4
452,3
453,4
454,2
455,5
456,8
457,7
458,8
459,2
460,2
461,3
462,2
463,4
464,6
465,8
466,3
467,2
468,6
469,7
470,1
471,0
472,3
473,2
474,3
475,6
476,4
477,2
478,1
479,0
480,6
481,8
482,2
483,3
484,5
485,2
486,5
487,2
488,7
489,5
490,8
491,2
492,6
493,1
494,1
495,5
496,4
497,5
498,3
499,0
500,5
501,5
502,6
503,8
504,5
505,0
506,5
507,1
508,2
509,6
510,7
511,5
512,1
513,6
514,5
515,4
516,0
517,3
518,8
519,4
520,6
521,1
522,5
523,0
524,6
525,8
526,7
527,4
528,5
529,8
530,3
531,6
532,5
533,1
534,5
535,5
536,1
537,1
538,2
539,3
540,8
541,4
542,8
543,7
544,3
545,1
546,3
547,1
548,6
549,2
550,3
551,1
552,2
553,7
554,8
555,8
556,6
557,1
558,0
559,2
560,3
561,2
562,7
563,5
564,3
565,7
566,6
567,0
568,6
569,3
570,8
571,2
572,1
573,5
574,2
575,6
576,8
577,8
578,8
579,3
580,4
581,0
582,4
583,1
584,2
585,1
586,8
587,5
588,7
589,6
590,5
591,6
592,2
593,1
594,5
595,1
596,0
597,8
598,8
599,4
600,2
601,4
