ImageId,Label
1,1
2,0
3,4
4,2
5,3
6,6
7,0
8,3
9,0
10,1
11,5
12,3
13,6
14,0
15,4
16,4
17,1
18,0
19,9
20,0
21,7
22,1
23,2
24,2
25,7
26,4
27,5
28,9
29,6
30,5
31,5
32,2
33,4
34,1
35,4
36,4
37,2
38,3
39,5
40,4
41,3
42,5
43,5
44,7
45,6
46,5
47,4
48,3
49,7
50,3
51,7
52,7
53,3
54,3
55,8
56,2
57,0
58,4
59,1
60,2
61,4
62,1
63,6
64,2
65,0
66,0
67,1
68,6
69,0
70,3
71,3
72,4
73,5
74,7
75,5
76,7
77,5
78,7
79,1
80,2
81,2
82,6
83,0
84,2
85,9
86,2
87,3
88,3
89,4
90,7
91,1
92,0
93,6
94,6
95,4
96,5
97,5
98,7
99,5
100,2
101,1
102,5
103,1
104,0
105,8
106,2
107,0
108,5
109,0
110,4
111,0
112,0
113,5
114,2
115,0
116,5
117,1
118,0
119,2
120,5
121,3
122,6
123,1
124,3
125,7
126,2
127,7
128,7
129,6
130,6
131,3
132,4
133,3
134,1
135,0
136,0
137,3
138,1
139,2
140,2
141,3
142,1
143,4
144,4
145,3
146,6
147,7
148,7
149,1
150,4
151,5
152,1
153,3
154,5
155,3
156,1
157,8
158,4
159,5
160,6
161,3
162,2
163,4
164,3
165,0
166,3
167,3
168,4
169,4
170,0
171,1
172,5
173,8
174,7
175,1
176,2
177,6
178,2
179,0
180,2
181,5
182,4
183,6
184,3
185,5
186,9
187,2
188,0
189,4
190,0
191,7
192,3
193,3
194,5
195,5
196,0
197,6
198,8
199,2
200,6
201,0
202,6
203,1
204,7
205,6
206,0
207,5
208,4
209,3
210,2
211,0
212,5
213,4
214,6
215,9
216,4
217,1
218,6
219,2
220,4
221,1
222,1
223,0
224,0
225,3
226,7
227,4
228,6
229,3
230,0
231,0
232,3
233,9
234,4
235,6
236,2
237,1
238,2
239,4
240,5
241,6
242,6
243,2
244,4
245,5
246,4
247,6
248,9
249,3
250,4
251,7
252,4
253,2
254,5
255,7
256,7
257,4
258,2
259,6
260,2
261,2
262,3
263,5
264,6
265,6
266,0
267,7
268,7
269,2
270,0
271,6
272,0
273,7
274,4
275,6
276,4
277,2
278,4
279,6
280,6
281,0
282,6
283,0
284,3
285,4
286,1
287,9
288,7
289,8
290,7
291,5
292,8
293,7
294,7
295,6
296,5
297,3
298,1
299,2
300,1
301,6
302,6
303,6
304,3
305,4
306,4
307,2
308,2
309,6
310,4
311,8
312,4
313,5
314,2
315,0
316,4
317,7
318,3
319,2
320,4
321,6
322,1
323,3
324,6
325,8
326,6
327,4
328,1
329,2
330,6
331,5
332,3
333,1
334,4
335,3
336,6
337,1
338,5
339,5
340,4
341,4
342,0
343,1
344,7
345,6
346,0
347,5
348,4
349,2
350,5
351,5
352,7
353,5
354,2
355,6
356,7
357,9
358,7
359,1
360,5
361,4
362,5
363,2
364,5
365,8
366,3
367,1
368,4
369,0
370,5
371,5
372,4
373,3
374,7
375,9
376,4
377,5
378,3
379,3
380,5
381,6
382,2
383,5
384,5
385,4
386,4
387,2
388,1
389,3
390,3
391,0
392,8
393,3
394,9
395,6
396,1
397,2
398,1
399,5
400,1
401,7
402,6
403,6
404,2
405,1
406,1
407,5
408,1
409,4
410,5
411,4
412,1
413,6
414,3
415,1
416,9
417,1
418,1
419,1
420,3
421,9
422,5
423,4
424,5
425,3
426,1
427,5
428,4
429,3
430,6
431,3
432,7
433,5
434,1
435,4
436,1
437,4
438,8
439,6
440,0
441,4
442,4
443,7
444,7
445,4
446,3
447,1
448,3
449,2
450,5
451,6
452,6
453,3
454,8
455,3
456,7
457,1
458,3
459,4
460,6
461,5
462,9
463,5
464,0
465,4
466,1
467,7
468,7
469,5
470,0
471,1
472,4
473,9
474,5
475,4
476,0
477,3
478,3
479,0
480,1
481,3
482,7
483,4
484,1
485,4
486,8
487,6
488,5
489,2
490,6
491,4
492,7
493,2
494,7
495,2
496,3
497,3
498,2
499,3
500,2
501,4
502,6
503,5
504,2
505,3
506,5
507,3
508,2
509,0
510,2
511,7
512,4
513,4
514,4
515,6
516,4
517,1
518,5
519,4
520,2
521,3
522,7
523,0
524,5
525,5
526,1
527,0
528,1
529,0
530,5
531,0
532,5
533,1
534,9
535,6
536,3
537,5
538,5
539,4
540,1
541,5
542,3
543,7
544,0
545,0
546,1
547,0
548,8
549,1
550,2
551,2
552,2
553,0
554,5
555,3
556,0
557,7
558,4
559,5
560,2
561,3
562,2
563,2
564,0
565,2
566,5
567,4
568,1
569,4
570,3
571,1
572,6
573,5
574,3
575,0
576,2
577,2
578,2
579,4
580,2
581,6
582,1
583,3
584,5
585,7
586,0
587,4
588,2
589,8
590,4
591,7
592,6
593,4
594,3
595,2
596,5
597,2
598,3
599,0
600,3
601,1
602,1
603,5
604,0
605,5
606,2
607,7
608,2
609,4
610,4
611,6
612,3
613,4
614,2
615,3
616,8
617,5
618,2
619,1
620,9
621,6
622,7
623,7
624,3
625,1
626,6
627,3
628,5
629,4
630,2
631,3
632,0
633,5
634,5
635,0
636,5
637,5
638,8
639,7
640,1
641,0
642,5
643,7
644,5
645,3
646,4
647,4
648,5
649,1
650,8
651,5
652,9
653,1
654,0
655,4
656,1
657,4
658,3
659,2
660,7
661,3
662,3
663,4
664,0
665,2
666,4
667,1
668,4
669,6
670,6
671,5
672,7
673,4
674,5
675,5
676,5
677,3
678,2
679,6
680,0
681,6
682,8
683,7
684,2
685,3
686,7
687,4
688,5
689,6
690,7
691,3
692,7
693,0
694,1
695,5
696,6
697,2
698,7
699,9
700,6
701,3
702,0
703,7
704,1
705,5
706,0
707,7
708,4
709,6
710,6
711,4
712,6
713,1
714,5
715,6
716,4
717,3
718,2
719,5
720,4
721,5
722,1
723,4
724,0
725,1
726,1
727,6
728,7
729,4
730,3
731,8
732,3
733,3
734,2
735,7
736,6
737,2
738,5
739,3
740,4
741,3
742,3
743,4
744,3
745,2
746,5
747,4
748,6
749,6
750,2
751,3
752,6
753,3
754,3
755,3
756,3
757,9
758,1
759,1
760,4
761,5
762,0
763,5
764,0
765,4
766,0
767,0
768,5
769,2
770,8
771,3
772,6
773,0
774,3
775,5
776,2
777,3
778,3
779,4
780,1
781,1
782,4
783,4
784,7
785,5
786,4
787,5
788,6
789,4
790,6
791,3
792,3
793,4
794,0
795,3
796,4
797,1
798,6
799,7
800,5
801,0
802,1
803,3
804,2
805,1
806,5
807,6
808,7
809,5
810,1
811,9
812,7
813,3
814,3
815,3
816,5
817,0
818,9
819,7
820,6
821,3
822,0
823,4
824,0
825,2
826,5
827,3
828,3
829,3
830,2
831,5
832,2
833,3
834,5
835,1
836,7
837,4
838,0
839,4
840,4
841,2
842,5
843,0
